time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,0,vacant,14,27,0.0
1,0,vacant,43,27,0.0
1,0,vacant,33,27,0.0
1,2,sell,14,27,0.0
1,2,sell,43,27,0.0
1,2,sell,33,27,0.0
1,1,repair,20,28,0.0
1,1,repair,26,28,0.0
1,1,repair,45,28,0.0
1,1,repair,44,28,0.0
1,1,repair,49,28,0.0
1,1,repair,23,28,0.0
1,1,repair,43,28,0.0
1,0,vacant,20,28,0.0
1,0,vacant,26,28,0.0
1,0,vacant,45,28,0.0
1,0,vacant,44,28,0.0
1,0,vacant,49,28,0.0
1,0,vacant,23,28,0.0
1,0,vacant,43,28,0.0
1,2,sell,20,28,0.0
1,2,sell,26,28,0.0
1,2,sell,45,28,0.0
1,2,sell,44,28,0.0
1,2,sell,49,28,0.0
1,2,sell,23,28,0.0
1,2,sell,43,28,0.0
1,1,repair,38,29,0.0
1,1,repair,50,29,0.0
1,1,repair,46,29,0.0
1,1,repair,49,29,0.0
1,1,repair,19,29,0.0
1,1,repair,43,29,0.0
1,0,vacant,38,29,0.0
1,0,vacant,50,29,0.0
1,0,vacant,46,29,0.0
1,0,vacant,49,29,0.0
1,0,vacant,19,29,0.0
1,0,vacant,43,29,0.0
1,2,sell,38,29,0.0
1,2,sell,50,29,0.0
1,2,sell,46,29,0.0
1,2,sell,49,29,0.0
1,2,sell,19,29,0.0
1,2,sell,43,29,0.0
1,1,repair,6,30,0.0
1,1,repair,45,30,0.0
1,1,repair,37,30,0.0
1,1,repair,42,30,0.0
1,1,repair,2,30,0.0
1,1,repair,26,30,0.0
1,1,repair,5,30,0.0
1,1,repair,41,30,0.0
1,1,repair,24,30,0.0
1,1,repair,20,30,0.0
1,0,vacant,6,30,0.0
1,0,vacant,45,30,0.0
1,0,vacant,37,30,0.0
1,0,vacant,42,30,0.0
1,0,vacant,2,30,0.0
1,0,vacant,26,30,0.0
1,0,vacant,5,30,0.0
1,0,vacant,41,30,0.0
1,0,vacant,24,30,0.0
1,0,vacant,20,30,0.0
1,2,sell,6,30,0.0
1,2,sell,45,30,0.0
1,2,sell,37,30,0.0
1,2,sell,42,30,0.0
1,2,sell,2,30,0.0
1,2,sell,26,30,0.0
1,2,sell,5,30,0.0
1,2,sell,41,30,0.0
1,2,sell,24,30,0.0
1,2,sell,20,30,0.0
1,1,repair,39,31,0.0
1,1,repair,18,31,0.0
1,1,repair,8,31,0.0
1,1,repair,43,31,0.0
1,1,repair,33,31,0.0
1,0,vacant,39,31,0.0
1,0,vacant,18,31,0.0
1,0,vacant,8,31,0.0
1,0,vacant,43,31,0.0
1,0,vacant,33,31,0.0
1,2,sell,39,31,0.0
1,2,sell,18,31,0.0
1,2,sell,8,31,0.0
1,2,sell,43,31,0.0
1,2,sell,33,31,0.0
1,1,repair,19,32,0.0
1,1,repair,33,32,0.0
1,1,repair,49,32,0.0
1,1,repair,18,32,0.0
1,1,repair,43,32,0.0
1,2,sell,19,32,0.0
1,2,sell,33,32,0.0
1,2,sell,49,32,0.0
1,2,sell,18,32,0.0
1,2,sell,43,32,0.0
1,1,repair,18,33,0.0
1,1,repair,43,33,0.0
1,1,repair,10,33,0.0
1,1,repair,47,33,0.0
1,1,repair,14,33,0.0
1,1,repair,32,33,0.0
1,1,repair,50,33,0.0
1,1,repair,7,33,0.0
1,1,repair,8,33,0.0
1,1,repair,31,33,0.0
1,1,repair,27,33,0.0
1,0,vacant,18,33,0.0
1,0,vacant,43,33,0.0
1,0,vacant,10,33,0.0
1,0,vacant,47,33,0.0
1,0,vacant,14,33,0.0
1,0,vacant,32,33,0.09709594617468797
1,0,vacant,50,33,0.0
1,0,vacant,7,33,0.0
1,0,vacant,8,33,0.0
1,0,vacant,31,33,0.0
